epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1363,1.39263,1.30695,1.40251,0.7899,0.65801,0.70277,0.43779,1.36319,1.33565,1.24749,0.000665087,0.000665087,0.000665087
2,121.533,1.44007,1.21901,1.40454,0.97195,0.75014,0.78533,0.44828,1.55798,0.97548,1.27681,0.00128781,0.00128781,0.00128781
3,179.776,1.41679,1.11096,1.39022,0.92625,0.69697,0.75136,0.41896,1.5096,1.32295,1.32699,0.00186652,0.00186652,0.00186652
4,248.601,1.44772,1.10215,1.40788,0.94875,0.75974,0.78633,0.43793,1.52284,0.87761,1.3395,0.001802,0.001802,0.001802
5,300.903,1.39588,1.01491,1.3775,0.94997,0.74675,0.77378,0.43789,1.54154,0.97316,1.29686,0.001736,0.001736,0.001736
6,351.819,1.35681,0.98344,1.38744,0.9277,0.77056,0.79941,0.43652,1.53848,0.79358,1.3265,0.00167,0.00167,0.00167
7,406.328,1.30543,0.90284,1.33656,0.97258,0.76762,0.79499,0.45961,1.50507,0.74622,1.2798,0.001604,0.001604,0.001604
8,459.002,1.30098,0.88205,1.33668,0.95911,0.76149,0.79414,0.51524,1.25968,0.725,1.19027,0.001538,0.001538,0.001538
9,510.882,1.25135,0.82269,1.30971,0.96057,0.77056,0.80942,0.444,1.61385,0.70999,1.30394,0.001472,0.001472,0.001472
10,562.703,1.26654,0.83223,1.31276,0.97468,0.78139,0.83296,0.49484,1.43356,0.66671,1.23829,0.001406,0.001406,0.001406
11,613.489,1.23752,0.79831,1.29605,0.95484,0.77803,0.84428,0.48377,1.51509,0.69809,1.26667,0.00134,0.00134,0.00134
12,668.656,1.2138,0.79364,1.28534,0.96932,0.77489,0.81582,0.47648,1.48811,0.62305,1.22536,0.001274,0.001274,0.001274
13,717.49,1.19263,0.78332,1.25163,0.9552,0.77273,0.80771,0.46625,1.53249,0.72439,1.29112,0.001208,0.001208,0.001208
14,770.825,1.16694,0.74226,1.25655,0.96305,0.78983,0.84736,0.50494,1.44333,0.71728,1.24297,0.001142,0.001142,0.001142
15,819.99,1.17103,0.71657,1.25888,0.95301,0.7902,0.84333,0.51256,1.41628,0.69405,1.22075,0.001076,0.001076,0.001076
16,872.98,1.13234,0.70545,1.23158,0.98361,0.77947,0.84028,0.46194,1.58575,0.64495,1.30466,0.00101,0.00101,0.00101
17,926.649,1.14518,0.72095,1.24323,0.97825,0.77876,0.85483,0.50037,1.49561,0.6304,1.2294,0.000944,0.000944,0.000944
18,980.579,1.13271,0.68446,1.22538,0.97562,0.78571,0.88204,0.53591,1.36186,0.58277,1.18213,0.000878,0.000878,0.000878
19,1037.16,1.11369,0.66948,1.20429,0.97571,0.78244,0.84569,0.53209,1.3244,0.60011,1.19718,0.000812,0.000812,0.000812
20,1091.66,1.11452,0.66664,1.22589,0.9807,0.77706,0.85231,0.42921,1.76692,0.68638,1.37343,0.000746,0.000746,0.000746
21,1150.68,0.96817,0.50224,1.13087,0.9703,0.78355,0.86449,0.51534,1.40666,0.60038,1.20174,0.00068,0.00068,0.00068
22,1207.14,0.94182,0.48548,1.10789,0.92237,0.82296,0.87898,0.51027,1.45854,0.57874,1.23208,0.000614,0.000614,0.000614
23,1268.13,0.94216,0.48357,1.1233,0.96268,0.78158,0.84615,0.47594,1.53754,0.60402,1.28609,0.000548,0.000548,0.000548
24,1327.11,0.90846,0.45369,1.09654,0.96604,0.80032,0.89219,0.5589,1.28724,0.51462,1.17302,0.000482,0.000482,0.000482
25,1385.14,0.9055,0.44378,1.09785,0.97753,0.78571,0.88882,0.52876,1.42239,0.55327,1.22129,0.000416,0.000416,0.000416
26,1440.39,0.8902,0.43166,1.08185,0.95815,0.79299,0.88616,0.50194,1.5188,0.57634,1.25958,0.00035,0.00035,0.00035
27,1495.97,0.86178,0.42095,1.06957,0.93003,0.83436,0.88731,0.53201,1.42416,0.55347,1.2324,0.000284,0.000284,0.000284
28,1554.01,0.86461,0.41069,1.07299,0.97825,0.7789,0.88087,0.53096,1.39324,0.54957,1.20118,0.000218,0.000218,0.000218
29,1612.45,0.84862,0.39924,1.05725,0.92479,0.82512,0.88915,0.54402,1.37328,0.52728,1.19803,0.000152,0.000152,0.000152
30,1666.44,0.83206,0.39688,1.05386,0.93816,0.82096,0.88925,0.56118,1.31274,0.51565,1.17613,8.6e-05,8.6e-05,8.6e-05
