epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7906,1.28834,2.05114,1.23273,0.94919,0.72779,0.75896,0.40938,1.58072,1.32465,1.27951,0.000663507,0.000663507,0.000663507
2,52.2046,1.3426,1.33798,1.26756,0.96702,0.76157,0.79941,0.47607,1.47517,0.94397,1.22011,0.00128628,0.00128628,0.00128628
3,74.6796,1.36052,1.09972,1.28141,0.96142,0.75507,0.79731,0.36775,1.83304,1.02782,1.36877,0.00186505,0.00186505,0.00186505
4,96.9249,1.31147,0.96896,1.24171,0.96966,0.77706,0.8095,0.47913,1.50564,0.72487,1.21734,0.001802,0.001802,0.001802
5,119.451,1.30837,0.9058,1.24976,0.96971,0.76221,0.82415,0.47365,1.50485,0.69691,1.21886,0.001736,0.001736,0.001736
6,145.139,1.25316,0.83785,1.21513,0.98015,0.77706,0.81858,0.44267,1.63984,0.69237,1.24172,0.00167,0.00167,0.00167
7,168.654,1.26082,0.80983,1.204,0.94428,0.77056,0.82055,0.44518,1.62971,0.72361,1.26326,0.001604,0.001604,0.001604
8,191.739,1.25925,0.80634,1.20223,0.95522,0.78488,0.85495,0.52505,1.36921,0.67411,1.1745,0.001538,0.001538,0.001538
9,214.109,1.19251,0.76327,1.16602,0.98066,0.7619,0.82252,0.48841,1.46945,0.64341,1.18713,0.001472,0.001472,0.001472
10,236.822,1.19814,0.77962,1.18297,0.98483,0.78139,0.86582,0.48396,1.57336,0.65141,1.2042,0.001406,0.001406,0.001406
11,262.096,1.16468,0.72558,1.15272,0.96521,0.78071,0.84462,0.42402,1.74261,0.68907,1.31397,0.00134,0.00134,0.00134
12,284.929,1.14839,0.70058,1.15136,0.97568,0.78788,0.84545,0.5417,1.29351,0.57539,1.08131,0.001274,0.001274,0.001274
13,307.442,1.14816,0.69111,1.15014,0.96737,0.78788,0.86207,0.55253,1.27374,0.57486,1.08018,0.001208,0.001208,0.001208
14,330.028,1.12885,0.64104,1.13469,0.97541,0.77289,0.86232,0.55019,1.33455,0.59094,1.11267,0.001142,0.001142,0.001142
15,352.54,1.11138,0.6561,1.11776,0.98453,0.78571,0.86301,0.50684,1.51066,0.56723,1.19751,0.001076,0.001076,0.001076
16,378.535,1.07688,0.64717,1.1059,0.98486,0.78788,0.8468,0.49368,1.53501,0.59673,1.20095,0.00101,0.00101,0.00101
17,402.072,1.09424,0.64092,1.11022,0.95873,0.79654,0.86997,0.50752,1.51931,0.59193,1.17277,0.000944,0.000944,0.000944
18,425.069,1.073,0.59474,1.09571,0.96396,0.79221,0.87099,0.50657,1.43766,0.56189,1.14617,0.000878,0.000878,0.000878
19,447.572,1.06368,0.59299,1.10242,0.96555,0.78873,0.84055,0.4897,1.5292,0.5767,1.19498,0.000812,0.000812,0.000812
20,469.95,1.0163,0.56932,1.07953,0.96698,0.78355,0.85785,0.47441,1.60051,0.6015,1.23087,0.000746,0.000746,0.000746
21,497.799,0.94137,0.45291,1.06286,0.95965,0.7987,0.8534,0.5801,1.19386,0.50031,1.07575,0.00068,0.00068,0.00068
22,521.76,0.91745,0.44678,1.0421,0.95,0.81602,0.87933,0.50487,1.51273,0.56387,1.17605,0.000614,0.000614,0.000614
23,544.041,0.89675,0.43407,1.03797,0.98116,0.78897,0.86017,0.51472,1.45622,0.52568,1.14362,0.000548,0.000548,0.000548
24,566.838,0.89208,0.42267,1.03325,0.94759,0.82184,0.90041,0.54474,1.38717,0.50189,1.12751,0.000482,0.000482,0.000482
25,589.279,0.87612,0.40938,1.01723,0.96338,0.79725,0.88899,0.58752,1.23728,0.4868,1.10263,0.000416,0.000416,0.000416
26,614.623,0.86398,0.39949,1.00596,0.93528,0.82684,0.893,0.57346,1.252,0.48435,1.09107,0.00035,0.00035,0.00035
27,637.25,0.85808,0.39967,1.00539,0.95905,0.81114,0.8919,0.55946,1.28883,0.48465,1.09899,0.000284,0.000284,0.000284
28,659.773,0.85063,0.38923,1.00399,0.98333,0.78571,0.88798,0.53809,1.39241,0.50349,1.13448,0.000218,0.000218,0.000218
29,682.407,0.81435,0.37467,0.98831,0.94048,0.82083,0.88807,0.55763,1.31752,0.48124,1.11574,0.000152,0.000152,0.000152
30,706.056,0.81418,0.3758,0.99183,0.97752,0.79004,0.87851,0.56931,1.26526,0.46726,1.10254,8.6e-05,8.6e-05,8.6e-05
