epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2224,1.25692,2.19074,1.20626,0.95467,0.68398,0.74977,0.43697,1.45437,2.16896,1.20338,0.000660377,0.000660377,0.000660377
2,64.5594,1.3066,1.41205,1.22281,0.95129,0.74242,0.78309,0.46152,1.39846,1.57738,1.19792,0.00128325,0.00128325,0.00128325
3,80.8669,1.32339,1.13628,1.22522,0.94833,0.7619,0.78621,0.41416,1.65661,0.9409,1.29205,0.00186213,0.00186213,0.00186213
4,99.1905,1.2724,0.96213,1.20553,0.96108,0.74824,0.78638,0.51248,1.27222,0.79087,1.12201,0.001802,0.001802,0.001802
5,114.985,1.28562,0.9314,1.21459,0.90494,0.76244,0.79433,0.399,1.61995,0.81301,1.24274,0.001736,0.001736,0.001736
6,131.488,1.25142,0.85509,1.20053,0.96677,0.75559,0.81633,0.49413,1.36226,0.7012,1.14319,0.00167,0.00167,0.00167
7,149.632,1.21595,0.78809,1.18094,0.96753,0.77408,0.80594,0.45958,1.55689,0.70099,1.2027,0.001604,0.001604,0.001604
8,165.084,1.20872,0.77239,1.1658,0.9617,0.76092,0.83046,0.46988,1.4618,0.68201,1.18424,0.001538,0.001538,0.001538
9,183.402,1.16513,0.72885,1.15154,0.95547,0.77489,0.81585,0.49179,1.40276,0.64363,1.1537,0.001472,0.001472,0.001472
10,199.59,1.1538,0.73408,1.14923,0.96181,0.76323,0.8141,0.54556,1.20201,0.61957,1.0624,0.001406,0.001406,0.001406
11,217.877,1.13445,0.70153,1.11807,0.96104,0.77273,0.84823,0.48757,1.47876,0.66067,1.19569,0.00134,0.00134,0.00134
12,233.707,1.13873,0.6837,1.12687,0.9607,0.79364,0.85559,0.49509,1.43075,0.61642,1.13981,0.001274,0.001274,0.001274
13,249.896,1.11094,0.66712,1.11574,0.94995,0.78051,0.85026,0.5304,1.32527,0.6068,1.09461,0.001208,0.001208,0.001208
14,268.499,1.0728,0.6359,1.09531,0.94089,0.79247,0.86203,0.48097,1.52886,0.62322,1.19788,0.001142,0.001142,0.001142
15,284.134,1.06983,0.64749,1.10147,0.95539,0.79221,0.86919,0.57777,1.15931,0.55774,1.03713,0.001076,0.001076,0.001076
16,303.146,1.05679,0.61076,1.09709,0.96973,0.78788,0.86322,0.53353,1.35564,0.57208,1.09786,0.00101,0.00101,0.00101
17,318.838,1.05905,0.6104,1.09134,0.9663,0.76407,0.81358,0.47241,1.53406,0.63991,1.19458,0.000944,0.000944,0.000944
18,336.846,1.01992,0.57811,1.06917,0.95134,0.77273,0.85234,0.47461,1.58952,0.62589,1.20605,0.000878,0.000878,0.000878
19,355.677,1.01071,0.59142,1.07998,0.95995,0.78139,0.87317,0.51907,1.44248,0.58993,1.15283,0.000812,0.000812,0.000812
20,370.759,1.0264,0.57609,1.0787,0.96142,0.79004,0.87929,0.46256,1.59547,0.58828,1.23191,0.000746,0.000746,0.000746
21,391.22,0.91737,0.44037,1.03535,0.97582,0.79004,0.89069,0.59382,1.15306,0.49921,1.0369,0.00068,0.00068,0.00068
22,406.78,0.89987,0.43481,1.03087,0.97038,0.78015,0.88441,0.56555,1.26048,0.54166,1.07278,0.000614,0.000614,0.000614
23,424.646,0.8829,0.42843,1.02313,0.97327,0.78815,0.88536,0.55427,1.30078,0.52494,1.07244,0.000548,0.000548,0.000548
24,440.019,0.87789,0.4161,1.00707,0.96797,0.78495,0.88819,0.61321,1.07794,0.49525,1.01372,0.000482,0.000482,0.000482
25,457.114,0.84107,0.39634,1.00147,0.97201,0.78571,0.88327,0.54574,1.35074,0.52529,1.09895,0.000416,0.000416,0.000416
26,472.02,0.83123,0.39384,0.99311,0.94894,0.80462,0.89741,0.56746,1.28907,0.51617,1.06657,0.00035,0.00035,0.00035
27,489.364,0.82895,0.38063,0.99021,0.97257,0.79221,0.90246,0.58079,1.22419,0.49202,1.04402,0.000284,0.000284,0.000284
28,504.384,0.80007,0.3727,0.98196,0.97271,0.79004,0.9024,0.58536,1.19887,0.4862,1.03684,0.000218,0.000218,0.000218
29,519.551,0.79917,0.36878,0.97827,0.96749,0.79004,0.89827,0.57281,1.25336,0.48214,1.05718,0.000152,0.000152,0.000152
30,537.03,0.78405,0.35907,0.96391,0.97262,0.79221,0.90568,0.60189,1.15868,0.46183,1.02372,8.6e-05,8.6e-05,8.6e-05
