epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7407,1.30658,1.667,1.25038,0.8698,0.72297,0.77002,0.4013,1.69173,0.8708,1.31472,0.000663507,0.000663507,0.000663507
2,70.5798,1.391,1.0359,1.29127,0.82873,0.44805,0.47939,0.26917,1.7531,1.62163,1.568,0.00128628,0.00128628,0.00128628
3,98.6058,1.39839,1.01681,1.30992,0.89945,0.53896,0.58258,0.31208,1.7224,1.41946,1.37295,0.00186505,0.00186505,0.00186505
4,126.133,1.35135,0.91836,1.2705,0.93922,0.7684,0.79552,0.49575,1.38861,0.78199,1.15614,0.001802,0.001802,0.001802
5,153.804,1.32437,0.88391,1.25607,0.9641,0.7556,0.79192,0.48405,1.50978,0.79369,1.23814,0.001736,0.001736,0.001736
6,182.653,1.2826,0.82953,1.23147,0.96602,0.76407,0.80001,0.46865,1.53991,0.71113,1.22531,0.00167,0.00167,0.00167
7,210.561,1.274,0.8068,1.213,0.96552,0.76623,0.79746,0.38688,1.73389,0.74357,1.31792,0.001604,0.001604,0.001604
8,238.415,1.28966,0.81108,1.22551,0.95282,0.74892,0.80561,0.52173,1.26382,0.65441,1.1471,0.001538,0.001538,0.001538
9,264.159,1.20673,0.74814,1.18708,0.97648,0.7619,0.82667,0.50116,1.39469,0.63976,1.16023,0.001472,0.001472,0.001472
10,289.464,1.2196,0.77705,1.19995,0.95434,0.77706,0.82518,0.47498,1.56546,0.66641,1.20696,0.001406,0.001406,0.001406
11,314.301,1.19653,0.7067,1.17746,0.96387,0.78571,0.86531,0.47214,1.58393,0.6398,1.23955,0.00134,0.00134,0.00134
12,338.93,1.16334,0.69734,1.16682,0.96488,0.79221,0.85102,0.51342,1.45616,0.61195,1.18741,0.001274,0.001274,0.001274
13,363.941,1.14919,0.68512,1.14739,0.962,0.77922,0.84053,0.53612,1.31561,0.56852,1.13829,0.001208,0.001208,0.001208
14,392.526,1.13481,0.63335,1.14359,0.97487,0.78355,0.85668,0.47903,1.58351,0.62972,1.2204,0.001142,0.001142,0.001142
15,418.626,1.13508,0.66402,1.1374,0.94488,0.81632,0.88605,0.52785,1.4174,0.57358,1.14092,0.001076,0.001076,0.001076
16,444.541,1.09152,0.6289,1.11086,0.96831,0.79365,0.88056,0.51885,1.4613,0.58412,1.17192,0.00101,0.00101,0.00101
17,469.282,1.10402,0.62549,1.12017,0.95988,0.77688,0.86845,0.42503,1.80559,0.64067,1.33539,0.000944,0.000944,0.000944
18,497.406,1.0796,0.601,1.109,0.93953,0.80717,0.86811,0.51785,1.45418,0.57128,1.17855,0.000878,0.000878,0.000878
19,523.13,1.07268,0.6052,1.1153,0.97609,0.79523,0.86838,0.50477,1.46199,0.58222,1.18675,0.000812,0.000812,0.000812
20,549.744,1.03279,0.56974,1.08945,0.97035,0.79437,0.87354,0.46254,1.66158,0.62514,1.26879,0.000746,0.000746,0.000746
21,577.821,0.95337,0.45571,1.06703,0.95634,0.81385,0.88938,0.5645,1.31748,0.53209,1.13656,0.00068,0.00068,0.00068
22,604.036,0.91894,0.44034,1.04887,0.92634,0.82251,0.89602,0.50357,1.53357,0.57087,1.2114,0.000614,0.000614,0.000614
23,631.28,0.91241,0.4321,1.04723,0.98386,0.79141,0.89394,0.54878,1.36535,0.53223,1.13889,0.000548,0.000548,0.000548
24,655.809,0.90324,0.41535,1.04187,0.96605,0.80074,0.89284,0.52283,1.46036,0.54859,1.18352,0.000482,0.000482,0.000482
25,680.824,0.88385,0.40677,1.02545,0.91817,0.85005,0.90218,0.58295,1.25637,0.52536,1.11451,0.000416,0.000416,0.000416
26,705.314,0.86378,0.39405,1.01428,0.95307,0.80952,0.90192,0.5827,1.24822,0.47655,1.11087,0.00035,0.00035,0.00035
27,729.468,0.85452,0.39315,1.01067,0.93181,0.82821,0.90244,0.57026,1.30755,0.49587,1.11213,0.000284,0.000284,0.000284
28,754.003,0.85011,0.38143,1.01171,0.90815,0.8346,0.89978,0.56055,1.33872,0.50085,1.12483,0.000218,0.000218,0.000218
29,779.986,0.81745,0.37042,0.99562,0.89272,0.86458,0.90754,0.57682,1.29725,0.48905,1.10327,0.000152,0.000152,0.000152
30,806.781,0.80664,0.36508,0.99417,0.93396,0.83766,0.90843,0.59616,1.22155,0.47173,1.08123,8.6e-05,8.6e-05,8.6e-05
